ejecucion;metodo;tiempo_segundos
1;insertion;0.00087227
2;insertion;0.000867119
3;insertion;0.000984646
4;insertion;0.00112976
5;insertion;0.000888339
6;insertion;0.00108412
7;insertion;0.000945043
8;insertion;0.000941447
9;insertion;0.000833367
10;insertion;0.000980168
11;insertion;0.000902605
12;insertion;0.000927912
13;insertion;0.00124883
14;insertion;0.000904959
15;insertion;0.000871538
16;insertion;0.0010975
17;insertion;0.000914537
18;insertion;0.000859195
19;insertion;0.000842725
20;insertion;0.00101485
