ejecucion;metodo;tiempo_segundos
1;searchUserName;2.426e-06
2;searchUserName;2.406e-06
3;searchUserName;2.666e-06
4;searchUserName;2.766e-06
5;searchUserName;2.896e-06
6;searchUserName;2.436e-06
7;searchUserName;2.396e-06
8;searchUserName;2.596e-06
9;searchUserName;2.336e-06
10;searchUserName;2.506e-06
11;searchUserName;2.346e-06
12;searchUserName;2.246e-06
13;searchUserName;2.265e-06
14;searchUserName;2.876e-06
15;searchUserName;2.676e-06
16;searchUserName;2.546e-06
17;searchUserName;2.476e-06
18;searchUserName;2.396e-06
19;searchUserName;2.275e-06
20;searchUserName;6.625e-06
