ejecucion;metodo;tiempo_segundos
1;searchUserName;4.11e-07
2;searchUserName;5.91e-07
3;searchUserName;4.91e-07
4;searchUserName;4.71e-07
5;searchUserName;4.81e-07
6;searchUserName;4.6e-07
7;searchUserName;4.8e-07
8;searchUserName;6.11e-07
9;searchUserName;4.6e-07
10;searchUserName;4.31e-07
11;searchUserName;4.61e-07
12;searchUserName;4.31e-07
13;searchUserName;5.91e-07
14;searchUserName;4.61e-07
15;searchUserName;4.7e-07
16;searchUserName;5.81e-07
17;searchUserName;4.5e-07
18;searchUserName;4.51e-07
19;searchUserName;4.5e-07
20;searchUserName;4.31e-07
