ejecucion;metodo;tiempo_segundos
1;searchUserID;1.994e-06
2;searchUserID;2.114e-06
3;searchUserID;2.244e-06
4;searchUserID;2.144e-06
5;searchUserID;2.264e-06
6;searchUserID;2.585e-06
7;searchUserID;1.974e-06
8;searchUserID;2.244e-06
9;searchUserID;2.354e-06
10;searchUserID;2.284e-06
11;searchUserID;2.264e-06
12;searchUserID;2.434e-06
13;searchUserID;2.224e-06
14;searchUserID;2.454e-06
15;searchUserID;2.064e-06
16;searchUserID;2.455e-06
17;searchUserID;1.993e-06
18;searchUserID;2.093e-06
19;searchUserID;2.334e-06
20;searchUserID;2.355e-06
