ejecucion;metodo;tiempo_segundos
1;searchUserID;9.267e-06
2;searchUserID;9.247e-06
3;searchUserID;9.237e-06
4;searchUserID;9.236e-06
5;searchUserID;9.277e-06
6;searchUserID;9.337e-06
7;searchUserID;9.417e-06
8;searchUserID;9.266e-06
9;searchUserID;9.377e-06
10;searchUserID;9.297e-06
11;searchUserID;9.297e-06
12;searchUserID;1.4716e-05
13;searchUserID;9.407e-06
14;searchUserID;9.197e-06
15;searchUserID;9.226e-06
16;searchUserID;9.177e-06
17;searchUserID;9.166e-06
18;searchUserID;9.397e-06
19;searchUserID;9.336e-06
20;searchUserID;9.246e-06
