Ejecucion,Metodo,tiempo_segundos
1,Tiempo inscersión,0.00137485
2,Tiempo inscersión,0.00128157
3,Tiempo inscersión,0.00146313
4,Tiempo inscersión,0.00126288
5,Tiempo inscersión,0.0012766
6,Tiempo inscersión,0.00123996
7,Tiempo inscersión,0.00144992
8,Tiempo inscersión,0.00122968
9,Tiempo inscersión,0.00137833
10,Tiempo inscersión,0.00139767
11,Tiempo inscersión,0.00140338
12,Tiempo inscersión,0.00145274
13,Tiempo inscersión,0.00212639
14,Tiempo inscersión,0.0022578
15,Tiempo inscersión,0.00146414
16,Tiempo inscersión,0.00219986
17,Tiempo inscersión,0.00156814
18,Tiempo inscersión,0.00164344
19,Tiempo inscersión,0.00201121
20,Tiempo inscersión,0.00140522
