Ejecucion,Metodo,tiempo_segundos
1,Tiempo de inscersión de,0.0197147
2,Tiempo de inscersión de,0.0194584
3,Tiempo de inscersión de,0.0198761
4,Tiempo de inscersión de,0.0192167
5,Tiempo de inscersión de,0.0186874
6,Tiempo de inscersión de,0.0185886
7,Tiempo de inscersión de,0.0191163
8,Tiempo de inscersión de,0.0193867
9,Tiempo de inscersión de,0.0192316
10,Tiempo de inscersión de,0.0195134
11,Tiempo de inscersión de,0.0184839
12,Tiempo de inscersión de,0.0194796
13,Tiempo de inscersión de,0.0193472
14,Tiempo de inscersión de,0.0191488
15,Tiempo de inscersión de,0.0186093
16,Tiempo de inscersión de,0.0190577
17,Tiempo de inscersión de,0.0193583
18,Tiempo de inscersión de,0.0193134
19,Tiempo de inscersión de,0.0196066
20,Tiempo de inscersión de,0.0186377
