ejecucion;metodo;tiempo_segundos
1;searchUserID;0.00652151
2;searchUserID;0.00632156
3;searchUserID;0.00575434
4;searchUserID;0.00644179
5;searchUserID;0.00579397
6;searchUserID;0.00583846
7;searchUserID;0.00611705
8;searchUserID;0.00602278
9;searchUserID;0.00570682
10;searchUserID;0.0058208
11;searchUserID;0.00600494
12;searchUserID;0.00561472
13;searchUserID;0.00539406
14;searchUserID;0.00623003
15;searchUserID;0.00569477
16;searchUserID;0.00553034
17;searchUserID;0.00613464
18;searchUserID;0.00649964
19;searchUserID;0.00582221
20;searchUserID;0.00595377
