ejecucion;metodo;tiempo_segundos
1;searchUserID;0.00662514
2;searchUserID;0.00750557
3;searchUserID;0.00593111
4;searchUserID;0.0063987
5;searchUserID;0.00614589
6;searchUserID;0.0061252
7;searchUserID;0.00571184
8;searchUserID;0.00621902
9;searchUserID;0.00624489
10;searchUserID;0.00601175
11;searchUserID;0.00599597
12;searchUserID;0.00707926
13;searchUserID;0.00698008
14;searchUserID;0.00615262
15;searchUserID;0.00600769
16;searchUserID;0.00553901
17;searchUserID;0.00632634
18;searchUserID;0.0059278
19;searchUserID;0.00579956
20;searchUserID;0.006086
