ejecucion;metodo;tiempo_segundos
1;searchUserID;0.00572515
2;searchUserID;0.00644479
3;searchUserID;0.00579076
4;searchUserID;0.00566934
5;searchUserID;0.00563878
6;searchUserID;0.00609878
7;searchUserID;0.00576599
8;searchUserID;0.00567865
9;searchUserID;0.00662589
10;searchUserID;0.00576911
11;searchUserID;0.00584317
12;searchUserID;0.00678116
13;searchUserID;0.00592461
14;searchUserID;0.0058991
15;searchUserID;0.00703812
16;searchUserID;0.00558374
17;searchUserID;0.00582302
18;searchUserID;0.00621125
19;searchUserID;0.00566909
20;searchUserID;0.00575466
