ejecucion;metodo;tiempo_segundos
1;searchUserName;0.00588568
2;searchUserName;0.00739718
3;searchUserName;0.0059616
4;searchUserName;0.00579711
5;searchUserName;0.00589006
6;searchUserName;0.00776971
7;searchUserName;0.00603498
8;searchUserName;0.006805
9;searchUserName;0.00624435
10;searchUserName;0.00650695
11;searchUserName;0.00614013
12;searchUserName;0.00578116
13;searchUserName;0.00686658
14;searchUserName;0.00621479
15;searchUserName;0.00579905
16;searchUserName;0.00594764
17;searchUserName;0.00615049
18;searchUserName;0.00575922
19;searchUserName;0.00580912
20;searchUserName;0.00596073
