ejecucion;metodo;tiempo_segundos
1;searchUserName;0.00566976
2;searchUserName;0.00646585
3;searchUserName;0.0057481
4;searchUserName;0.00565443
5;searchUserName;0.00641839
6;searchUserName;0.0059277
7;searchUserName;0.00560519
8;searchUserName;0.00630379
9;searchUserName;0.00599007
10;searchUserName;0.00568213
11;searchUserName;0.00592813
12;searchUserName;0.00570818
13;searchUserName;0.00648949
14;searchUserName;0.00590489
15;searchUserName;0.00551596
16;searchUserName;0.00631544
17;searchUserName;0.00627795
18;searchUserName;0.00588247
19;searchUserName;0.00558895
20;searchUserName;0.00602934
